[GENERAL]
DATE=August 08, 2025 at 12:19:57
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

770203.33557873_1821998.26244964,770203.33557873,1821998.26244964
770203.340562486_1821997.76224357,770203.340562486,1821997.76224357
770203.345654457_1821997.26192812,770203.345654457,1821997.26192812
770203.353796052_1821996.46196955,770203.353796052,1821996.46196955
770525.644148938_1822155.32980742,770525.644148938,1822155.32980742
770525.648927093_1822154.82959759,770525.648927093,1822154.82959759
770525.653920295_1822154.32927974,770525.653920295,1822154.32927974
770525.661903945_1822153.52931958,770525.661903945,1822153.52931958
770767.688857713_1822203.68279668,770767.688857713,1822203.68279668
770767.696679304_1822202.88283492,770767.696679304,1822202.88283492
770767.701570078_1822202.38262568,770767.701570078,1822202.38262568
770767.706462241_1822201.8823057,770767.706462241,1822201.8823057
770907.803560199_1822209.88898741,770907.803560199,1822209.88898741
770908.210727743_1822210.17978119,770908.210727743,1822210.17978119
770908.697500473_1822209.95126186,770908.697500473,1822209.95126186
771128.688064854_1824983.21618711,771128.688064854,1824983.21618711
771175.407694736_1821881.39743999,771175.407694736,1821881.39743999
771176.207655412_1821881.40537203,771176.207655412,1821881.40537203
771176.708065048_1821881.41033386,771176.708065048,1821881.41033386
771177.208261026_1821881.41529301,771177.208261026,1821881.41529301
771183.717088016_1821993.78836863,771183.717088016,1821993.78836863
771193.862613486_1821883.02316242,771193.862613486,1821883.02316242
771202.250616115_1822150.56183613,771202.250616115,1822150.56183613
771202.751421546_1822150.54333004,771202.751421546,1822150.54333004
771203.251719591_1822150.54818135,771203.251719591,1822150.54818135
771204.051681982_1822150.55593846,771204.051681982,1822150.55593846
771312.042881455_1821703.78662185,771312.042881455,1821703.78662185
771312.047676166_1821703.28640976,771312.047676166,1821703.28640976
771312.052792765_1821702.78609097,771312.052792765,1821702.78609097
771312.060973679_1821701.9861328,771312.060973679,1821701.9861328
771468.550140045_1822110.70529715,771468.550140045,1822110.70529715
771468.5549399_1822110.20508439,771468.5549399,1822110.20508439
771468.559954809_1822109.70476363,771468.559954809,1822109.70476363
771468.567973117_1822108.90480381,771468.567973117,1822108.90480381
771471.509685684_1821876.64949682,771471.509685684,1821876.64949682
771478.410371153_1822283.57093749,771478.410371153,1822283.57093749
771502.439551673_1822292.7738173,771502.439551673,1822292.7738173
771502.939740615_1822292.77867469,771502.939740615,1822292.77867469
771503.439926771_1822292.7837535,771503.439926771,1822292.7837535
771504.239885534_1822292.79187615,771504.239885534,1822292.79187615
771521.728849514_1821807.7950696,771521.728849514,1821807.7950696
771522.52881008_1821807.80301269,771522.52881008,1821807.80301269
771523.028902115_1821807.80797828,771523.028902115,1821807.80797828
771523.529314645_1821807.81294793,771523.529314645,1821807.81294793
771532.371835412_1822207.69003964,771532.371835412,1822207.69003964
771542.875322027_1821522.56077986,771542.875322027,1821522.56077986
771542.88012281_1821522.06045638,771542.88012281,1821522.06045638
771542.885242694_1821521.56024768,771542.885242694,1821521.56024768
771542.893430662_1821520.76028958,771542.893430662,1821520.76028958
771566.682766857_1822196.84904597,771566.682766857,1822196.84904597
771779.612521332_1821937.82580152,771779.612521332,1821937.82580152
771780.125346383_1821943.71113708,771780.125346383,1821943.71113708
771780.133545633_1821942.9111791,771780.133545633,1821942.9111791
771780.138672582_1821942.41096947,771780.138672582,1821942.41096947
771780.143587264_1821941.91064644,771780.143587264,1821941.91064644
771805.523104495_1822250.28118551,771805.523104495,1822250.28118551
771806.023294067_1822250.28616048,771806.023294067,1822250.28616048
771806.523485034_1822250.29102478,771806.523485034,1822250.29102478
771807.323447207_1822250.29880432,771807.323447207,1822250.29880432
772199.658375097_1821944.69792615,772199.658375097,1821944.69792615
772211.835399236_1821948.23884221,772211.835399236,1821948.23884221
772211.843102471_1821947.4388793,772211.843102471,1821947.4388793
772211.847920353_1821946.93855356,772211.847920353,1821946.93855356
772211.85284227_1821946.43845061,772211.85284227,1821946.43845061
772373.16559042_1824617.63768262,772373.16559042,1824617.63768262
772373.173485864_1824616.83772158,772373.173485864,1824616.83772158
772373.178422881_1824616.33750634,772373.178422881,1824616.33750634
772373.183468114_1824615.83718176,772373.183468114,1824615.83718176
772617.672669733_1822140.56693435,772617.672669733,1822140.56693435
772659.197575511_1821666.06582465,772659.197575511,1821666.06582465
772659.997535666_1821666.07380907,772659.997535666,1821666.07380907
772660.497634882_1821666.07880057,772660.497634882,1821666.07880057
772660.998055998_1821666.08368541,772660.998055998,1821666.08368541
772675.094103503_1822188.51365595,772675.094103503,1822188.51365595
772675.594405719_1822188.51854153,772675.594405719,1822188.51854153
772676.094492875_1822188.52353514,772676.094492875,1822188.52353514
772676.894452994_1822188.53152313,772676.894452994,1822188.53152313
