[GENERAL]
DATE=August 08, 2025 at 12:19:09
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

771126.432907516_1824985.07793472,771126.432907516,1824985.07793472
771732.009306423_1824684.3563462,771732.009306423,1824684.3563462
771780.964849894_1824717.1842693,771780.964849894,1824717.1842693
772174.53185628_1824769.23835058,772174.53185628,1824769.23835058
772278.374482665_1824612.94756464,772278.374482665,1824612.94756464
772526.768724263_1824699.10124855,772526.768724263,1824699.10124855
772526.775663996_1824698.40085822,772526.775663996,1824698.40085822
772526.782602325_1824697.70057861,772526.782602325,1824697.70057861
772527.469148826_1824699.10822934,772527.469148826,1824699.10822934
772527.476195401_1824698.40784035,772527.476195401,1824698.40784035
772527.483135153_1824697.70745002,772527.483135153,1824697.70745002
772527.491061489_1824696.90748929,772527.491061489,1824696.90748929
772528.173521427_1824699.1155923,772528.173521427,1824699.1155923
772528.180505692_1824698.40324368,772528.180505692,1824698.40324368
772528.18776103_1824697.68635857,772528.18776103,1824697.68635857
772553.484161008_1824697.36169491,772553.484161008,1824697.36169491
772553.984478818_1824697.36071837,772553.984478818,1824697.36071837
772706.585706514_1824991.10098538,772706.585706514,1824991.10098538
772706.593616554_1824990.30102449,772706.593616554,1824990.30102449
772706.598562711_1824989.80080806,772706.598562711,1824989.80080806
772706.603510266_1824989.30048094,772706.603510266,1824989.30048094
772762.86677011_1824745.48862823,772762.86677011,1824745.48862823
772775.985160658_1824753.36758437,772775.985160658,1824753.36758437
773339.741922149_1824771.59170004,773339.741922149,1824771.59170004
773339.749854366_1824770.79173937,773339.749854366,1824770.79173937
773339.75481441_1824770.29152104,773339.75481441,1824770.29152104
773339.759775858_1824769.79119202,773339.759775858,1824769.79119202
773339.769351595_1824768.79263344,773339.769351595,1824768.79263344
773509.242736281_1824780.59363417,773509.242736281,1824780.59363417
773509.250675332_1824779.79367356,773509.250675332,1824779.79367356
773509.255640754_1824779.29334399,773509.255640754,1824779.29334399
773509.260606172_1824778.79301441,773509.260606172,1824778.79301441
773586.36155399_1824057.96329344,773586.36155399,1824057.96329344
773586.366515685_1824057.46318534,773586.366515685,1824057.46318534
773586.371480188_1824056.96285581,773586.371480188,1824056.96285581
773586.37941777_1824056.16289519,773586.37941777,1824056.16289519
774079.641207068_1825021.33989902,774079.641207068,1825021.33989902
774233.225131061_1824570.54224761,774233.225131061,1824570.54224761
774233.233095704_1824569.74228726,774233.233095704,1824569.74228726
774233.238077156_1824569.24195548,774233.238077156,1824569.24195548
774233.243164015_1824568.7417358,774233.243164015,1824568.7417358
774235.18291763_1824689.5146032,774235.18291763,1824689.5146032
774235.683058935_1824689.5196428,774235.683058935,1824689.5196428
774236.183309882_1824689.52446238,774236.183309882,1824689.52446238
774236.983272756_1824689.53216948,774236.983272756,1824689.53216948
774291.275924235_1824758.05647939,774291.275924235,1824758.05647939
774348.524976092_1824625.02992423,774348.524976092,1824625.02992423
774348.532602618_1824624.22996058,774348.532602618,1824624.22996058
774348.537370495_1824623.72984712,774348.537370495,1824623.72984712
774348.542354828_1824623.22951498,774348.542354828,1824623.22951498
774348.874045324_1824622.85492757,774348.874045324,1824622.85492757
774368.807073041_1824651.23974177,774368.807073041,1824651.23974177
774438.389374016_1824480.22326471,774438.389374016,1824480.22326471
774473.408855441_1824436.42390609,774473.408855441,1824436.42390609
774473.708934617_1824436.02355954,774473.708934617,1824436.02355954
774510.476766655_1824545.50726622,774510.476766655,1824545.50726622
774551.366506725_1824574.41649352,774551.366506725,1824574.41649352
