[GENERAL]
DATE=August 08, 2025 at 12:20:29
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

754812.516212363_1833491.66408214,754812.516212363,1833491.66408214
755036.704087448_1832347.10188637,755036.704087448,1832347.10188637
755041.471882289_1832363.56743183,755041.471882289,1832363.56743183
755072.416252339_1832404.51405445,755072.416252339,1832404.51405445
755072.852485841_1832404.26924514,755072.852485841,1832404.26924514
755326.649549841_1833884.09986752,755326.649549841,1833884.09986752
755402.820607242_1833952.32418642,755402.820607242,1833952.32418642
755403.320893142_1833952.32915506,755403.320893142,1833952.32915506
755403.821177723_1833952.3342344,755403.821177723,1833952.3342344
755404.621136494_1833952.3423563,755404.621136494,1833952.3423563
756069.689034995_1824931.35721189,756069.689034995,1824931.35721189
756070.677475948_1824931.21927721,756070.677475948,1824931.21927721
756186.272944556_1824910.65667225,756186.272944556,1824910.65667225
756186.277828396_1824910.15639928,756186.277828396,1824910.15639928
756186.282710918_1824909.65623702,756186.282710918,1824909.65623702
756186.290520047_1824908.85627513,756186.290520047,1824908.85627513
756189.502907256_1824912.74447689,756189.502907256,1824912.74447689
756206.803355712_1824943.56396616,756206.803355712,1824943.56396616
756264.699907898_1831738.06550026,756264.699907898,1831738.06550026
756264.704816148_1831737.56533506,756264.704816148,1831737.56533506
756264.709725722_1831737.06505914,756264.709725722,1831737.06505914
756264.71757633_1831736.26509766,756264.71757633,1831736.26509766
756359.385727176_1823904.24744494,756359.385727176,1823904.24744494
756359.390611514_1823903.74717186,756359.390611514,1823903.74717186
756359.395708155_1823903.24701201,756359.395708155,1823903.24701201
756359.403859751_1823902.44705354,756359.403859751,1823902.44705354
756391.573397105_1825991.76805779,756391.573397105,1825991.76805779
756391.578289502_1825991.2677838,756391.578289502,1825991.2677838
756391.583180583_1825990.76762048,756391.583180583,1825990.76762048
756391.591003383_1825989.96765873,756391.591003383,1825989.96765873
756497.716935738_1824845.95393117,756497.716935738,1824845.95393117
756500.377333122_1824865.62612057,756500.377333122,1824865.62612057
756536.757165436_1824860.52362873,756536.757165436,1824860.52362873
756926.210519089_1831401.97633161,756926.210519089,1831401.97633161
756937.05734871_1824848.02435557,756937.05734871,1824848.02435557
756937.062248453_1824847.52419112,756937.062248453,1824847.52419112
756937.067256326_1824847.02391724,756937.067256326,1824847.02391724
756937.075264135_1824846.22395732,756937.075264135,1824846.22395732
756987.072577831_1831473.89845454,756987.072577831,1831473.89845454
756987.370402569_1831474.30016627,756987.370402569,1831474.30016627
756987.572819914_1831473.90345103,756987.572819914,1831473.90345103
756988.072956553_1831473.90833556,756988.072956553,1831473.90833556
756988.872918403_1831473.9161483,756988.872918403,1831473.9161483
757004.743936096_1834826.45633094,757004.743936096,1834826.45633094
757004.748979213_1834825.95616361,757004.748979213,1834825.95616361
757004.753916901_1834825.45588429,757004.753916901,1834825.45588429
757004.761812406_1834824.65592325,757004.761812406,1834824.65592325
