
[OVERHEADLINE SETTING]
FORMAT_OVERHEADLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,ConnectionStatus,CoordX,CoordY,HarmonicModel,FlowConstraintActive,FlowConstraintUnit,MaximumFlow,SeriesCompensationActive,MaxReactanceMultiplier,SeriesCompensationCost
OH_5574,OH_5574,,0,0,3P_22 KV_ACV-185SQMM,0.50001833,0,0,0,2,0,0,100,0,50,0
OH_5575,OH_5575,,0,0,3P_22 KV_ACSR-95SQMM,0.50002986,0,0,0,2,0,0,100,0,50,0
OH_5576,OH_5576,,0,0,3P_22 KV_ACV-70SQMM,0.49995970,0,0,0,2,0,0,100,0,50,0
OH_5578,OH_5578,,0,0,3P_22 KV_ACV-70SQMM,46.49851981,0,0,0,2,0,0,100,0,50,0
OH_5579,OH_5579,,0,0,3P_22 KV_ACV-70SQMM,339.17142541,0,0,0,2,0,0,100,0,50,0
OH_5585,OH_5585,,0,0,3P_22 KV_ACSR-95SQMM,0.50003985,0,0,0,2,0,0,100,0,50,0
OH_5592,OH_5592,,0,0,3P_22 KV_ACSR-95SQMM,522.42921518,0,0,0,2,0,0,100,0,50,0
OH_5631,OH_5631,,0,0,3P_22 KV_ACSR-95SQMM,1718.00819826,0,0,0,2,0,0,100,0,50,0
OH_5635,OH_5635,,0,0,3P_22 KV_ACSR-95SQMM,58.09133887,0,0,0,2,0,0,100,0,50,0
OH_5660,OH_5660,,0,0,3P_22 KV_ACV-70SQMM,59.99372019,0,0,0,2,0,0,100,0,50,0
OH_5661,OH_5661,,0,0,3P_22 KV_ACV-70SQMM,66.95487462,0,0,0,2,0,0,100,0,50,0
OH_5667,OH_5667,,0,0,3P_22 KV_ACSR-95SQMM,888.26836638,0,0,0,2,0,0,100,0,50,0
OH_5699,OH_5699,,0,0,3P_22 KV_ACV-70SQMM,376.48787165,0,0,0,2,0,0,100,0,50,0
OH_5700,OH_5700,,0,0,3P_22 KV_ACSR-95SQMM,243.98372701,0,0,0,2,0,0,100,0,50,0
OH_5703,OH_5703,,0,0,3P_22 KV_ACSR-95SQMM,624.01289576,0,0,0,2,0,0,100,0,50,0
OH_5704,OH_5704,,0,0,3P_22 KV_ACSR-95SQMM,336.93738970,0,0,0,2,0,0,100,0,50,0
OH_5705,OH_5705,,0,0,3P_22 KV_ACSR-95SQMM,1066.26781185,0,0,0,2,0,0,100,0,50,0
OH_5706,OH_5706,,0,0,3P_22 KV_ACSR-95SQMM,269.01455795,0,0,0,2,0,0,100,0,50,0
OH_5719,OH_5719,,0,0,3P_22 KV_ACV-70SQMM,36.24365602,0,0,0,2,0,0,100,0,50,0
OH_5721,OH_5721,,0,0,3P_22 KV_ACSR-95SQMM,272.68381226,0,0,0,2,0,0,100,0,50,0
OH_5724,OH_5724,,0,0,3P_22 KV_ACSR-95SQMM,289.56327932,0,0,0,2,0,0,100,0,50,0
OH_5730,OH_5730,,0,0,3P_22 KV_ACSR-95SQMM,86.81875392,0,0,0,2,0,0,100,0,50,0
OH_5732,OH_5732,,0,0,3P_22 KV_ACSR-70SQMM,103.21549077,0,0,0,2,0,0,100,0,50,0
OH_5747,OH_5747,,0,0,3P_22 KV_ACSR-95SQMM,676.57180087,0,0,0,2,0,0,100,0,50,0
OH_5749,OH_5749,,0,0,3P_22 KV_ACV-70SQMM,247.23078422,0,0,0,2,0,0,100,0,50,0
OH_5761,OH_5761,,0,0,3P_22 KV_ACSR-95SQMM,715.77741822,0,0,0,2,0,0,100,0,50,0
OH_5772,OH_5772,,0,0,3P_22 KV_ACV-185SQMM,104.41658590,0,0,0,2,0,0,100,0,50,0
OH_5774,OH_5774,,0,0,3P_22 KV_ACSR-95SQMM,335.85626146,0,0,0,2,0,0,100,0,50,0
OH_5776,OH_5776,,0,0,3P_22 KV_ACSR-95SQMM,37.22132218,0,0,0,2,0,0,100,0,50,0
OH_5798,OH_5798,,0,0,3P_22 KV_ACV-185SQMM,351.18895297,0,0,0,2,0,0,100,0,50,0
OH_5801,OH_5801,,0,0,3P_22 KV_ACSR-95SQMM,311.03841276,0,0,0,2,0,0,100,0,50,0
OH_5807,OH_5807,,0,0,3P_22 KV_ACSR-95SQMM,185.25948442,0,0,0,2,0,0,100,0,50,0
OH_5811,OH_5811,,0,0,3P_22 KV_ACSR-95SQMM,233.60758681,0,0,0,2,0,0,100,0,50,0
OH_5814,OH_5814,,0,0,3P_22 KV_ACSR-95SQMM,667.82127425,0,0,0,2,0,0,100,0,50,0
OH_5815,OH_5815,,0,0,3P_22 KV_ACV-185SQMM,52.87260633,0,0,0,2,0,0,100,0,50,0
OH_5816,OH_5816,,0,0,3P_22 KV_ACV-185SQMM,353.62116082,0,0,0,2,0,0,100,0,50,0
OH_5855,OH_5855,,0,0,3P_22 KV_ACSR-95SQMM,48.38723722,0,0,0,2,0,0,100,0,50,0
OH_5856,OH_5856,,0,0,3P_22 KV_ACSR-95SQMM,55.96954950,0,0,0,2,0,0,100,0,50,0
OH_5857,OH_5857,,0,0,3P_22 KV_ACSR-95SQMM,28.37643797,0,0,0,2,0,0,100,0,50,0
OH_5858,OH_5858,,0,0,3P_22 KV_ACSR-95SQMM,872.01673963,0,0,0,2,0,0,100,0,50,0
OH_5859,OH_5859,,0,0,3P_22 KV_ACSR-95SQMM,834.70039358,0,0,0,2,0,0,100,0,50,0
OH_5860,OH_5860,,0,0,3P_22 KV_ACSR-95SQMM,77.21033929,0,0,0,2,0,0,100,0,50,0
OH_5861,OH_5861,,0,0,3P_22 KV_ACV-185SQMM,133.43780932,0,0,0,2,0,0,100,0,50,0
OH_5862,OH_5862,,0,0,3P_22 KV_ACV-185SQMM,53.85089455,0,0,0,2,0,0,100,0,50,0
OH_5864,OH_5864,,0,0,3P_22 KV_ACSR-95SQMM,529.16057934,0,0,0,2,0,0,100,0,50,0
OH_5902,OH_5902,,0,0,3P_22 KV_ACV-185SQMM,53.85089455,0,0,0,2,0,0,100,0,50,0
OH_5903,OH_5903,,0,0,3P_22 KV_ACV-185SQMM,351.18895297,0,0,0,2,0,0,100,0,50,0
BB_4870,BB_4870,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4871,BB_4871,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4878,BB_4878,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4879,BB_4879,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4886,BB_4886,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4887,BB_4887,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4888,BB_4888,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4889,BB_4889,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4896,BB_4896,,0,0,3P_22 KV_ACV-70SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4897,BB_4897,,0,0,3P_22 KV_ACV-70SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4908,BB_4908,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4909,BB_4909,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4928,BB_4928,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4929,BB_4929,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4932,BB_4932,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4933,BB_4933,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4936,BB_4936,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4937,BB_4937,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4944,BB_4944,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4945,BB_4945,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4962,BB_4962,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4963,BB_4963,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4996,BB_4996,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_4997,BB_4997,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
