
[FUSE SETTING]
FORMAT_FUSESETTING=SectionID,Location,EqID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,CoordX,CoordY,ClosedPhase,Locked,RC,NStatus,TCCID,PhPickup,GrdPickup,Alternate,PhAltPickup,GrdAltPickup,FromNodeID,FaultIndicator,Strategic,RestorationMode,ConnectionStatus,ByPassOnRestoration,Reversible
BB_5212,L,22 KV_400A,FU_2184,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5296,L,22 KV_400A,FU_2112,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4962,L,22 KV_400A,FU_1868,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4822,S,22 KV_400A,FU_1984,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5110,L,22 KV_400A,FU_1869,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5160,L,22 KV_400A,FU_1832,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
CA_5414,S,22 KV_0A,FU_1844,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4962,L,22 KV_100A,FU_1868,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5224,L,22 KV_100A,FU_1824,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4831,S,22 KV_100A,FU_1911,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4827,S,22 KV_100A,FU_1815,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5252,L,22 KV_100A,FU_2143,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5118,L,22 KV_100A,FU_2253,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5046,L,22 KV_100A,FU_1818,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4888,L,22 KV_100A,FU_2151,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_5422,L,22 KV_100A,FU_1912,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4936,L,22 KV_100A,FU_2197,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4682,S,22 KV_100A,FU_2081,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5160,L,22 KV_100A,FU_1832,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
