
[INTERMEDIATE NODES]
FORMAT_INTERMEDIATENODE=SectionID,SeqNumber,CoordX,CoordY,IsBreakPoint,BreakPointLocation
               
OH_4660,1,753399.705979027,1834171.9986752,,
OH_4670,1,753989.933455976,1833403.16207239,,
OH_4680,1,752421.768002432,1834704.45828144,,
OH_4680,2,752383.421968567,1834747.58712571,,
OH_4680,3,752351.59953007,1834780.9392431,,
OH_4680,4,752322.644434838,1834804.82470529,,
OH_4709,1,751936.594691934,1835803.93613416,,
OH_4709,2,751888.78656518,1835766.19736545,,
OH_4709,3,751874.915261367,1835694.8841372,,
OH_4709,4,751839.626340474,1835639.6836635,,
OH_4709,5,751819.521475649,1835577.83082982,,
OH_4709,6,751785.623926866,1835526.02700072,,
OH_4709,7,751756.811325621,1835464.96086778,,
OH_4709,8,751716.181514231,1835434.70617238,,
OH_4709,9,751682.881857234,1835441.60733681,,
OH_4716,1,754045.499753894,1833508.89495916,,
OH_4716,2,754071.100618865,1833534.69908265,,
OH_4716,3,754120.245926646,1833578.01286448,,
OH_4804,1,753724.884141467,1833671.42506123,,
OH_4804,2,753695.290718448,1833690.89291906,,
OH_4804,3,753667.966613749,1833708.06241847,,
OH_4804,4,753626.870118161,1833734.14772962,,
OH_4804,5,753580.55866664,1833767.81079027,,
OH_4804,6,753557.549773187,1833781.26724591,,
OH_4804,7,753516.612063215,1833812.00468613,,
OH_4804,8,753487.937437937,1833825.94773413,,
OH_4804,9,753454.767631132,1833849.91279178,,
OH_4804,10,753424.029092963,1833866.93154195,,
OH_4804,11,753393.458050082,1833887.93808782,,
OH_4804,12,753363.169748642,1833911.93745621,,
OH_4804,13,753333.653417882,1833934.06470167,,
OH_4804,14,753369.690851345,1833992.50613385,,
OH_4804,15,753387.798618899,1834023.27685547,,
OH_4804,16,753404.834357585,1834054.47888922,,
OH_4805,1,753478.79771908,1834183.23229726,,
OH_4805,2,753493.289789153,1834216.245548,,
OH_4806,1,753082.391694503,1834180.09444516,,
OH_4806,2,753043.0096227,1834214.83674097,,
OH_4806,3,752954.593421273,1834293.39136112,,
OH_4806,4,752885.470766145,1834341.60104824,,
OH_4806,5,752847.646241604,1834379.86173326,,
OH_4806,6,752811.689885257,1834414.62376382,,
OH_4806,7,752771.124613023,1834442.39288643,,
OH_4806,8,752749.480970907,1834468.57076845,,
OH_4806,9,752715.840233328,1834498.13004539,,
OH_4806,10,752682.534999443,1834526.5905944,,
OH_4806,11,752655.456693504,1834552.24162271,,
OH_4806,12,752642.696948039,1834570.04691662,,
OH_4806,13,752609.599133244,1834606.1936547,,
OH_4806,14,752591.925826652,1834610.96735837,,
OH_4806,15,752540.655201971,1834649.00229263,,
OH_4806,16,752508.47319196,1834679.95521495,,
OH_4807,1,752546.854664187,1834766.1016795,,
OH_4807,2,752571.839851088,1834738.82825053,,
OH_4807,3,752604.269218645,1834777.40769218,,
OH_4807,4,752637.647700686,1834816.99484106,,
OH_4807,5,752569.573130539,1834849.51812736,,
OH_4807,6,752573.39519544,1834887.53753404,,
OH_4807,7,752582.972737755,1834962.60494562,,
OH_4807,8,752592.159406076,1834986.73861176,,
OH_4807,9,752631.909798619,1834976.25015524,,
OH_4807,10,752644.53832115,1835022.47015942,,
OH_4807,11,752661.375142399,1835072.97361634,,
OH_4807,12,752680.5262125,1835133.53746871,,
OH_4807,13,752637.324846819,1835145.3369049,,
OH_4807,14,752598.906484914,1835150.45692869,,
OH_4808,1,752259.936492093,1835067.85164968,,
OH_4808,2,752241.348521208,1835023.45721013,,
OH_4808,3,752195.743182947,1835042.84862824,,
OH_4808,4,752147.68493016,1835062.09941602,,
OH_4809,1,751126.889425755,1834152.09406893,,
OH_4809,2,751079.085853441,1834150.39436114,,
OH_4809,3,751032.078886087,1834132.48113292,,
OH_4809,4,751032.504144472,1834117.61497407,,
OH_4809,5,750976.893180548,1834096.08697145,,
OH_4809,6,750924.165069112,1834067.3466582,,
OH_4809,7,750863.504458639,1834041.28365495,,
OH_4809,8,750794.025673374,1834011.46181305,,
OH_4809,9,750734.316535534,1833986.18425344,,
OH_4809,10,750678.980496116,1833961.29020117,,
OH_4809,11,750606.952160733,1833930.33317182,,
OH_4809,12,750559.443439948,1833911.62031235,,
OH_4809,13,750511.313303013,1833891.35030862,,
OH_4809,14,750463.858466517,1833868.09904858,,
OH_4809,15,750420.751003896,1833847.4451478,,
OH_4809,16,750369.946538276,1833827.58709367,,
OH_4809,17,750325.932915185,1833811.35136702,,
OH_4809,18,750297.844796836,1833766.29482101,,
OH_4809,19,750272.403277756,1833723.15138201,,
OH_4810,1,752086.538387625,1834515.44286771,,
OH_4810,2,752061.965076988,1834544.04912627,,
OH_4810,3,752006.038560625,1834587.67798901,,
OH_4810,4,751949.577221596,1834631.41028085,,
OH_4810,5,751901.138249081,1834673.90849082,,
OH_4810,6,751839.468725662,1834715.58686775,,
OH_4810,7,751785.85016042,1834753.7064752,,
OH_4810,8,751723.027533082,1834793.71083992,,
OH_4810,9,751689.924850274,1834812.36461696,,
OH_4811,1,751682.418642725,1834833.20258836,,
OH_4811,2,751676.794872456,1834872.46681896,,
OH_4811,3,751665.911380308,1834920.58397709,,
OH_4811,4,751651.697879733,1834967.13855417,,
OH_4811,5,751640.209601108,1835027.01094907,,
OH_4811,6,751647.251641583,1835081.89757876,,
OH_4819,1,750018.863294159,1833828.22069197,,
OH_4819,2,750031.912237826,1833845.56016146,,
OH_4819,3,750051.138193445,1833899.81278128,,
OH_4819,4,750075.452096179,1833957.33663615,,
OH_4819,5,750084.142700069,1834054.31247299,,
OH_4819,6,750091.985713754,1834150.61304754,,
OH_4819,7,750098.327422008,1834247.56260751,,
OH_4819,8,750109.881960399,1834346.12195086,,
OH_4819,9,750119.618598301,1834444.99223219,,
OH_4819,10,750128.091858171,1834541.95679283,,
OH_4819,11,750136.680259611,1834602.18349686,,
OH_4819,12,750071.689832319,1834663.53471244,,
OH_4820,1,748250.302205408,1832411.15394232,,
OH_4820,2,748182.003073163,1832389.43850509,,
OH_4820,3,748106.968834504,1832368.42045614,,
OH_4820,4,748036.213742039,1832346.78692823,,
OH_4820,5,747971.73733256,1832326.77823037,,
OH_4820,6,747900.177409718,1832310.00708906,,
OH_4820,7,747835.802353891,1832290.55367476,,
OH_4820,8,747766.931677045,1832272.04381619,,
OH_4820,9,747704.13616153,1832254.48907756,,
OH_4820,10,747657.220712746,1832193.27705487,,
OH_4820,11,747619.056599741,1832141.57682925,,
OH_4820,12,747579.41144208,1832088.75359176,,
OH_4820,13,747559.212991969,1832025.52565725,,
OH_4820,14,747526.911998405,1831956.28913656,,
OH_4820,15,747501.766946318,1831886.80414712,,
OH_4820,16,747477.471340629,1831826.96113135,,
OH_4820,17,747454.442175567,1831759.04962878,,
OH_4820,18,747424.917797473,1831689.62621129,,
OH_4821,1,749947.425251577,1833042.78546409,,
OH_4821,2,749919.935090002,1833074.46102659,,
OH_4822,1,748976.197392971,1832861.63708672,,
OH_4822,2,748951.547171389,1832885.82931394,,
OH_4822,3,748915.515234342,1832936.00536627,,
OH_4822,4,748875.678577366,1832973.62896905,,
OH_4822,5,748812.449325163,1832929.27298121,,
OH_4822,6,748796.493541659,1832970.05248745,,
OH_4822,7,748783.487581462,1833004.99737115,,
OH_4823,1,747280.54729583,1831606.58843891,,
OH_4823,2,747236.655383497,1831597.88860883,,
OH_4823,3,747102.54070032,1831592.63107652,,
OH_4823,4,747075.303842196,1831589.16647222,,
OH_4823,5,747005.098034831,1831584.37116293,,
OH_4823,6,746960.593389337,1831582.41934123,,
OH_4823,7,746912.134495235,1831580.75433625,,
OH_4823,8,746862.847167101,1831576.86679525,,
OH_4823,9,746816.766540788,1831572.68192248,,
OH_4823,10,746768.764105743,1831568.47736575,,
OH_4825,1,747167.77256326,1828324.36169013,,
OH_4825,2,747216.92551709,1828312.74901386,,
OH_4825,3,747258.223603116,1828306.2482571,,
OH_4825,4,747300.686112493,1828300.64876684,,
OH_4825,5,747352.450329533,1828284.8581981,,
OH_4825,6,747390.437116785,1828278.43138622,,
OH_4825,7,747427.986505292,1828272.88517941,,
OH_4825,8,747473.83198614,1828261.01366102,,
OH_4826,1,745369.79905391,1827357.63169457,,
OH_4826,2,745308.010108043,1827362.79535689,,
OH_4826,3,745254.652415275,1827368.38649421,,
OH_4826,4,745202.391464649,1827371.55444151,,
OH_4826,5,745159.498724357,1827377.3758642,,
OH_4826,6,745112.01668694,1827382.92241382,,
OH_4826,7,745057.893704681,1827390.16582658,,
OH_4826,8,745007.330398137,1827394.24047541,,
OH_4826,9,744957.183711453,1827399.42475289,,
OH_4826,10,744902.785899771,1827402.68110212,,
OH_4826,11,744845.0618385,1827407.22577997,,
OH_4826,12,744800.444317913,1827414.46735824,,
OH_4826,13,744767.86833462,1827414.76183938,,
OH_4826,14,744735.089174951,1827423.35512454,,
OH_4826,15,744669.638836462,1827421.83635776,,
OH_4826,16,744605.150543378,1827439.03742534,,
OH_4826,17,744578.820844535,1827453.46216612,,
OH_4826,18,744528.62882672,1827481.34330281,,
OH_4826,19,744482.825274798,1827508.38899378,,
OH_4826,20,744448.714273997,1827530.9177219,,
OH_4826,21,744400.148298905,1827556.71424435,,
OH_4826,22,744369.493449149,1827575.85050772,,
OH_4826,23,744326.067351925,1827600.48780085,,
OH_4826,24,744290.562289087,1827623.44383903,,
OH_4826,25,744245.222989624,1827647.2845686,,
OH_4826,26,744210.259182966,1827669.80403224,,
OH_4826,27,744141.442740279,1827710.87142991,,
OH_4826,28,744091.425855715,1827704.54548919,,
OH_4827,1,746850.5821,1827720.44089889,,
OH_4827,2,746901.665743361,1827708.18624097,,
OH_4827,3,746937.437388939,1827699.40814401,,
OH_4827,4,746993.885756656,1827685.11070662,,
OH_4827,5,747039.792266545,1827670.14645782,,
OH_4827,6,747064.222667332,1827641.24620646,,
OH_4827,7,747064.976010619,1827594.45735265,,
OH_4827,8,747051.34888635,1827546.36536131,,
OH_4827,9,747060.127461507,1827489.70477531,,
OH_4827,10,747058.190787786,1827443.27704398,,
OH_4827,11,747064.086588138,1827384.11913445,,
OH_4827,12,747059.884003247,1827352.0510012,,
OH_4827,13,747049.253931927,1827292.39200492,,
OH_4827,14,747047.032757969,1827239.48345278,,
OH_4827,15,747046.778047332,1827180.58247872,,
OH_4827,16,747053.139282968,1827134.92654204,,
OH_4827,17,747063.311763505,1827091.09240416,,
OH_4827,18,747084.004206356,1827032.29038227,,
OH_4829,1,745497.097596959,1827264.65081168,,
OH_4829,2,745495.489833667,1827208.94436775,,
OH_4829,3,745497.531226125,1827151.84169358,,
OH_4829,4,745490.382815318,1827095.07672691,,
OH_4829,5,745487.893894049,1827041.68635431,,
OH_4829,6,745484.437552412,1826988.94931089,,
OH_4829,7,745482.953679971,1826931.80629905,,
OH_4829,8,745477.404271498,1826875.39185425,,
OH_4829,9,745474.55619167,1826816.12969293,,
OH_4829,10,745464.83386275,1826769.63038041,,
OH_4829,11,745459.701240669,1826657.7554192,,
OH_4829,12,745453.594231455,1826577.83425894,,
OH_4829,13,745449.588054327,1826486.37260345,,
OH_4829,14,745457.463929666,1826416.8185217,,
OH_4830,1,742591.902096049,1827779.90093651,,
OH_4830,2,742541.867445798,1827775.35207583,,
OH_4830,3,742485.036108623,1827776.70353146,,
OH_4830,4,742431.533569193,1827776.54299728,,
OH_4830,5,742349.491111474,1827769.19563111,,
OH_4830,6,742267.489169173,1827767.71884813,,
OH_4830,7,742179.37864679,1827758.64436442,,
OH_4830,8,742100.240445656,1827749.44999726,,
OH_4830,9,742022.18256827,1827739.05009481,,
OH_4830,10,741954.601513818,1827727.77226518,,
OH_4830,11,741889.45895535,1827718.0717721,,
OH_4830,12,741826.933493106,1827713.05072474,,
OH_4830,13,741758.171626107,1827702.31367696,,
OH_4830,14,741700.459573127,1827677.5295198,,
OH_4830,15,741657.674792305,1827683.46950362,,
OH_4830,16,741608.053535384,1827689.55525148,,
OH_4830,17,741556.956064663,1827693.96181791,,
OH_4831,1,742677.982923253,1827883.61024951,,
OH_4831,2,742665.658092475,1827934.83938236,,
OH_4831,3,742657.67865649,1827979.4751254,,
OH_4831,4,742642.805189437,1828029.34810389,,
OH_4831,5,742634.434321771,1828080.17805205,,
OH_4831,6,742628.116355725,1828119.62919027,,
