
------------------------------------------------------------------

FeederID                             E7-473         
                       
Start DateTime                       08-08-2025  12:19:00:PM                                                                              

F09_PC03_DUONGDAY_TT OBJECTID-OH_3679     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3679     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3680     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3680     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3681     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3681     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3682     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3682     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3683     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3683     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3684     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3684     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3685     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3685     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3686     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3686     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3687     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3687     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3688     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3688     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3689     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3689     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3690     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3690     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3691     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3691     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3692     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3692     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3693     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3693     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3694     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3694     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3695     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3695     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3696     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3696     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3697     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3697     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3698     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3698     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3699     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3699     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3700     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3700     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3701     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3701     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3702     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3702     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3703     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3703     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3705     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3705     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3705     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3706     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3706     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3707     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3707     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3708     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3708     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3709     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3709     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3710     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3710     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3711     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3711     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3712     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3712     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3713     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3713     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3714     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3714     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3715     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3715     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3716     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3716     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3717     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3717     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3718     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3718     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3720     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3720     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3810     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3810     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3810     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3811     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3811     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3811     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3820     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3820     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3820     Data Not Avilable in ConductorMaterial/MaHieu
