
[OVERHEADLINE SETTING]
FORMAT_OVERHEADLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,ConnectionStatus,CoordX,CoordY,HarmonicModel,FlowConstraintActive,FlowConstraintUnit,MaximumFlow,SeriesCompensationActive,MaxReactanceMultiplier,SeriesCompensationCost

02HL11,02HL11,,0,0,3P_33KV_80_Raccoon_ACSR_3C,175.3426,0,,,2,0,0,100,0,50,0
02HL12,02HL12,,0,0,3P_33KV_80_Raccoon_ACSR_3C,182.6696,0,,,2,0,0,100,0,50,0
02HL13,02HL13,,0,0,3P_33KV_80_Raccoon_ACSR_3C,69.95359,0,,,2,0,0,100,0,50,0
02HL16,02HL16,,0,0,3P_33KV_80_Raccoon_ACSR_3C,270.6302,0,,,2,0,0,100,0,50,0
02HL17,02HL17,,0,0,3P_33KV_80_Raccoon_ACSR_3C,172.8422,0,,,2,0,0,100,0,50,0
02HL9,02HL9,,0,0,3P_33KV_80_Raccoon_ACSR_3C,217.8245,0,,,2,0,0,100,0,50,0
02HL10,02HL10,,0,0,3P_33KV_80_Raccoon_ACSR_2C,231.4111,0,,,2,0,0,100,0,50,0
02HL18,02HL18,,0,0,3P_33KV_80_Raccoon_ACSR_3C,198.5484,0,,,2,0,0,100,0,50,0
02HL19,02HL19,,0,0,3P_33KV_80_Raccoon_ACSR_3C,174.2407,0,,,2,0,0,100,0,50,0
02HL20,02HL20,,0,0,3P_33KV_80_Raccoon_ACSR_3C,183.5461,0,,,2,0,0,100,0,50,0
02HL21,02HL21,,0,0,3P_33KV_80_Raccoon_ACSR_3C,129.2799,0,,,2,0,0,100,0,50,0
02HL22,02HL22,,0,0,3P_33KV_80_Raccoon_ACSR_3C,171.8591,0,,,2,0,0,100,0,50,0
02HL23,02HL23,,0,0,3P_33KV_80_Raccoon_ACSR_3C,165.4142,0,,,2,0,0,100,0,50,0
02HL24,02HL24,,0,0,3P_33KV_80_Raccoon_ACSR_3C,144.1949,0,,,2,0,0,100,0,50,0
02HL25,02HL25,,0,0,3P_33KV_80_Raccoon_ACSR_3C,80.00406,0,,,2,0,0,100,0,50,0
02HL26,02HL26,,0,0,3P_33KV_80_Raccoon_ACSR_3C,133.1596,0,,,2,0,0,100,0,50,0
02HL27,02HL27,,0,0,3P_33KV_80_Raccoon_ACSR_3C,172.129,0,,,2,0,0,100,0,50,0
02HL28,02HL28,,0,0,3P_33KV_80_Raccoon_ACSR_3C,215.104,0,,,2,0,0,100,0,50,0
02HL29,02HL29,,0,0,3P_33KV_80_Raccoon_ACSR_3C,146.5022,0,,,2,0,0,100,0,50,0
02HL30,02HL30,,0,0,3P_33KV_80_Raccoon_ACSR_3C,93.47295,0,,,2,0,0,100,0,50,0
02HL31,02HL31,,0,0,3P_33KV_80_Raccoon_ACSR_3C,114.2883,0,,,2,0,0,100,0,50,0
02HL32,02HL32,,0,0,3P_33KV_80_Raccoon_ACSR_3C,130.7138,0,,,2,0,0,100,0,50,0
02HL1,02HL1,,0,0,3P_33KV_80_Raccoon_ACSR_3C,24.33017,0,,,2,0,0,100,0,50,0
02HL21145,02HL21145,,0,0,3P_33KV_100_Dog_ACSR_2C,156.3781,0,,,2,0,0,100,0,50,0
02HL21138,02HL21138,,0,0,3P_33KV_100_Dog_ACSR_2C,174.9837,0,,,2,0,0,100,0,50,0
02HL21137,02HL21137,,0,0,3P_33KV_100_Dog_ACSR_2C,103.574,0,,,2,0,0,100,0,50,0
02HL21136,02HL21136,,0,0,3P_33KV_100_Dog_ACSR_2C,145.5551,0,,,2,0,0,100,0,50,0
02HL21135,02HL21135,,0,0,3P_33KV_100_Dog_ACSR_2C,173.4418,0,,,2,0,0,100,0,50,0
02HL21134,02HL21134,,0,0,3P_33KV_100_Dog_ACSR_2C,138.512,0,,,2,0,0,100,0,50,0
02HL21144,02HL21144,,0,0,3P_33KV_100_Dog_ACSR_2C,186.034,0,,,2,0,0,100,0,50,0
02HL21143,02HL21143,,0,0,3P_33KV_100_Dog_ACSR_2C,83.15247,0,,,2,0,0,100,0,50,0
02HL21142,02HL21142,,0,0,3P_33KV_100_Dog_ACSR_2C,104.9727,0,,,2,0,0,100,0,50,0
02HL21141,02HL21141,,0,0,3P_33KV_100_Dog_ACSR_2C,142.5909,0,,,2,0,0,100,0,50,0
02HL21133,02HL21133,,0,0,3P_33KV_100_Dog_ACSR_2C,147.6249,0,,,2,0,0,100,0,50,0
02HL21140,02HL21140,,0,0,3P_33KV_100_Dog_ACSR_2C,61.80682,0,,,2,0,0,100,0,50,0
02HL21139,02HL21139,,0,0,3P_33KV_100_Dog_ACSR_2C,168.3777,0,,,2,0,0,100,0,50,0
02HL21132,02HL21132,,0,0,3P_33KV_100_Dog_ACSR_2C,43.13455,0,,,2,0,0,100,0,50,0
02HL14,02HL14,,0,0,3P_33KV_80_Raccoon_ACSR_3C,190.1098,0,,,2,0,0,100,0,50,0
02HL15,02HL15,,0,0,3P_33KV_80_Raccoon_ACSR_3C,140.9082,0,,,2,0,0,100,0,50,0
02HL8,02HL8,,0,0,3P_33KV_80_Raccoon_ACSR_3C,105.5022,0,,,2,0,0,100,0,50,0
02HL2,02HL2,,0,0,3P_33KV_80_Raccoon_ACSR_3C,105.6005,0,,,2,0,0,100,0,50,0
02HL3,02HL3,,0,0,3P_33KV_80_Raccoon_ACSR_3C,142.5861,0,,,2,0,0,100,0,50,0
02HL4,02HL4,,0,0,3P_33KV_80_Raccoon_ACSR_3C,88.08161,0,,,2,0,0,100,0,50,0
02HL5,02HL5,,0,0,3P_33KV_80_Raccoon_ACSR_3C,171.8893,0,,,2,0,0,100,0,50,0
02HL6,02HL6,,0,0,3P_33KV_80_Raccoon_ACSR_3C,175.9943,0,,,2,0,0,100,0,50,0
02HL7,02HL7,,0,0,3P_33KV_80_Raccoon_ACSR_3C,108.5053,0,,,2,0,0,100,0,50,0
02HL21131,02HL21131,,0,0,3P_33KV_100_Dog_ACSR_2C,14.22735,0,,,2,0,0,100,0,50,0
02HL28992,02HL28992,,0,0,3P_33KV_80_Raccoon_ACSR_3C,28.30572,0,,,2,0,0,100,0,50,0
02BS84377-1,02BS84377-1,,0,0,33KV_BUSBAR,1.603278,0,,,2,0,0,100,0,50,0
02BS84377-2,02BS84377-2,,0,0,33KV_BUSBAR,1.603278,0,,,2,0,0,100,0,50,0
02BS84369-1,02BS84369-1,,0,0,33KV_BUSBAR,1.601581,0,,,2,0,0,100,0,50,0
02BS84366-1,02BS84366-1,,0,0,33KV_BUSBAR,3.205198,0,,,2,0,0,100,0,50,0
02BS84366-2,02BS84366-2,,0,0,33KV_BUSBAR,3.205198,0,,,2,0,0,100,0,50,0
02BS84370-1,02BS84370-1,,0,0,33KV_BUSBAR,1.293193,0,,,2,0,0,100,0,50,0
02BS84370-2,02BS84370-2,,0,0,33KV_BUSBAR,1.293193,0,,,2,0,0,100,0,50,0
02BS84374-1,02BS84374-1,,0,0,33KV_BUSBAR,3.205464,0,,,2,0,0,100,0,50,0
