
[SWITCH SETTING]
FORMAT_SWITCHSETTING=SectionID,Location,EqID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,CoordX,CoordY,ClosedPhase,Locked,RC,NStatus,PhPickup,GrdPickup,Alternate,PhAltPickup,GrdAltPickup,FromNodeID,FaultIndicator,Automated,SensorMode,Strategic,RestorationMode,ConnectionStatus,ByPassOnRestoration,Reversible

OH_5605,S,22 KV_400A,SW_2222,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5528,L,22 KV_400A,SW_1890,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10634,S,22 KV_400A,SW_3913,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5693,S,22 KV_400A,SW_1882,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11390,S,22 KV_400A,SW_4201,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_11470,S,22 KV_400A,SW_3788,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5518,S,22 KV_400A,SW_2265,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5532,S,22 KV_400A,SW_2233,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_11471,L,22 KV_400A,SW_3787,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5538,L,22 KV_400A,SW_1897,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5543,S,22 KV_400A,SW_1936,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10632,S,22 KV_400A,SW_3889,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5426,L,22 KV_200A,SW_1935,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5395,L,22 KV_200A,SW_1985,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5886,S,22 KV_200A,SW_1841,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_10664,L,22 KV_200A,SW_4197,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_10659,L,22 KV_630A,SW_4187,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10447,S,22 KV_630A,SW_4196,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_10662,L,22 KV_630A,SW_4188,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_15226,S,22 KV_630A,SW_5268,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5509,S,22 KV_630A,SW_1842,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5525,L,22 KV_630A,SW_2065,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10637,L,22 KV_630A,SW_4166,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_4788,S,22 KV_630A,SW_1835,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5523,L,22 KV_630A,SW_1905,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5543,L,22 KV_630A,SW_2066,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5586,L,22 KV_630A,SW_1990,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_4697,L,22 KV_630A,SW_1901,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_4698,L,22 KV_630A,SW_1993,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5723,L,22 KV_630A,SW_1892,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5764,L,22 KV_630A,SW_2064,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5777,L,22 KV_630A,SW_2008,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5424,L,22 KV_630A,SW_2050,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5427,L,22 KV_630A,SW_2057,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5425,L,22 KV_630A,SW_2053,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5428,L,22 KV_630A,SW_2054,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5429,S,22 KV_630A,SW_2056,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5392,L,22 KV_630A,SW_2049,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5508,S,22 KV_630A,SW_1839,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
