
[INTERMEDIATE NODES]
FORMAT_INTERMEDIATENODE=SectionID,SeqNumber,CoordX,CoordY,IsBreakPoint,BreakPointLocation
               
OH_4653,1,758429.760172199,1830367.86659254,,
OH_4653,2,758492.879088789,1830314.48475431,,
OH_4659,1,760978.408298506,1831793.24273334,,
OH_4659,2,760998.697777944,1831828.47766564,,
OH_4659,3,761018.253629407,1831862.48576143,,
OH_4659,4,761044.806704167,1831909.42276937,,
OH_4662,1,758501.342410081,1835032.1444546,,
OH_4662,2,758528.43132142,1835105.43610476,,
OH_4662,3,758559.989239421,1835179.99972409,,
OH_4662,4,758599.690571784,1835260.97396621,,
OH_4662,5,758641.201175634,1835342.4108622,,
OH_4662,6,758682.351283921,1835418.30973786,,
OH_4662,7,758724.47199236,1835502.3019469,,
OH_4662,8,758765.302900542,1835577.97467598,,
OH_4662,9,758784.757094462,1835620.28363666,,
OH_4662,10,758805.924333811,1835662.28118453,,
OH_4662,11,758829.789558144,1835710.62235045,,
OH_4662,12,758849.601330198,1835749.8356772,,
OH_4662,13,758873.745463333,1835792.75510984,,
OH_4662,14,758896.434831035,1835841.19411276,,
OH_4662,15,758909.513442595,1835898.59372352,,
OH_4662,16,758917.535001175,1835950.28762967,,
OH_4662,17,758918.584548561,1836013.63243587,,
OH_4663,1,759689.134130482,1835872.16918082,,
OH_4663,2,759656.440708304,1835926.1807284,,
OH_4663,3,759616.450848297,1836003.25220771,,
OH_4663,4,759586.12331003,1836072.87428552,,
OH_4663,5,759591.402109564,1836156.9755718,,
OH_4663,6,759599.150129514,1836231.14194483,,
OH_4663,7,759608.367870132,1836298.57218744,,
OH_4663,8,759614.262222323,1836358.32236027,,
OH_4663,9,759623.481833013,1836434.39000498,,
OH_4663,10,759631.595598425,1836487.19060692,,
OH_4663,11,759624.142545544,1836575.8331106,,
OH_4669,1,759798.623492834,1827032.43543619,,
OH_4669,2,759838.756185956,1827052.4071482,,
OH_4669,3,759883.815515425,1827080.29939843,,
OH_4669,4,759939.465302987,1827106.65918259,,
OH_4674,1,759499.274929809,1826650.77265816,,
OH_4676,1,760286.46612773,1835072.54112424,,
OH_4676,2,760303.356448968,1835090.71437439,,
OH_4678,1,759597.435328916,1837124.6456327,,
OH_4678,2,759566.316618663,1837131.56092629,,
OH_4678,3,759510.226080864,1837149.23651806,,
OH_4678,4,759462.510652892,1837161.14355722,,
OH_4678,5,759403.744163163,1837178.18239415,,
OH_4678,6,759371.074154452,1837186.18202067,,
OH_4678,7,759320.668986719,1837198.48388405,,
OH_4678,8,759275.782490975,1837210.35475752,,
