
[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,Flags,LoadType,Connection,Location

DT_874,CD830211,,,SPOT,0,0
DT_845,CC530150,,,SPOT,0,0
DT_923,CC530123,,,SPOT,0,0
DT_979,CD530175,,,SPOT,0,0
DT_861,CD530233,,,SPOT,0,0
DT_847,CC530026,,,SPOT,0,0
DT_976,CC530035,,,SPOT,0,0
DT_904,CC530148,,,SPOT,0,0
DT_892,CC530130,,,SPOT,0,0
DT_1018,CD530165,,,SPOT,0,0
DT_934,CC530086,,,SPOT,0,0
DT_873,CD530146,,,SPOT,0,0
DT_886,CC530155,,,SPOT,0,0
DT_932,CD530130,,,SPOT,0,0
DT_1008,CD530158,,,SPOT,0,0
DT_1042,CC530093,,,SPOT,0,0
DT_1036,CC530066,,,SPOT,0,0
DT_1037,CC530094,,,SPOT,0,0
DT_826,CC530015,,,SPOT,0,0
DT_991,CD530235,,,SPOT,0,0
DT_842,CD530260,,,SPOT,0,0
DT_898,CC530029,,,SPOT,0,0
DT_812,CC530054,,,SPOT,0,0
DT_1010,CD530236,,,SPOT,0,0
DT_1027,CD530230,,,SPOT,0,0
DT_989,CC530144,,,SPOT,0,0
DT_870,CD530150,,,SPOT,0,0
DT_832,CC530009,,,SPOT,0,0
DT_863,CD530111,,,SPOT,0,0
DT_938,CC530021,,,SPOT,0,0
DT_978,CD530176,,,SPOT,0,0
DT_805,CC530133,,,SPOT,0,0
DT_1038,CC530095,,,SPOT,0,0
DT_813,CC530162,,,SPOT,0,0
DT_957,CC530067,,,SPOT,0,0
DT_1050,CC530090,,,SPOT,0,0
DT_986,CD530136,,,SPOT,0,0
DT_879,CC530143,,,SPOT,0,0
DT_1054,CC530121,,,SPOT,0,0
DT_887,CD530220,,,SPOT,0,0
DT_902,CD530232,,,SPOT,0,0
DT_811,CC530058,,,SPOT,0,0
DT_1022,CC530007,,,SPOT,0,0
DT_908,CD530261,,,SPOT,0,0
DT_920,CD530145,,,SPOT,0,0
DT_943,CC530013,,,SPOT,0,0
DT_940,CC530160,,,SPOT,0,0
DT_1039,CC530039,,,SPOT,0,0
DT_820,CC530125,,,SPOT,0,0
DT_1004,CC530103,,,SPOT,0,0
DT_850,CC530164,,,SPOT,0,0
DT_880,CC530040,,,SPOT,0,0
DT_997,CC530138,,,SPOT,0,0
DT_823,CC530163,,,SPOT,0,0
DT_1052,CC530120,,,SPOT,0,0
DT_882,CC530030,,,SPOT,0,0
DT_810,CC530010,,,SPOT,0,0
DT_907,CD530238,,,SPOT,0,0
DT_941,CC530008,,,SPOT,0,0
DT_831,CC530134,,,SPOT,0,0
DT_1030,CC530020,,,SPOT,0,0
DT_862,CC530004,,,SPOT,0,0
DT_807,CD530234,,,SPOT,0,0
DT_1015,CC530154,,,SPOT,0,0
DT_856,CC530131,,,SPOT,0,0
DT_822,CD530237,,,SPOT,0,0
DT_1007,CC530119,,,SPOT,0,0
DT_875,CC530084,,,SPOT,0,0
DT_1048,CD530128,,,SPOT,0,0
DT_830,CC530016,,,SPOT,0,0
DT_1019,CD830203,,,SPOT,0,0
DT_869,CC530124,,,SPOT,0,0
DT_967,CC530156,,,SPOT,0,0
DT_996,CC530011,,,SPOT,0,0
DT_806,CC530023,,,SPOT,0,0
DT_1023,CC530006,,,SPOT,0,0
DT_2179,HC530021,,,SPOT,0,0
DT_2281,HC530015,,,SPOT,0,0
DT_2060,HC530080,,,SPOT,0,0
DT_2285,HC530071,,,SPOT,0,0
DT_2184,HC530056,,,SPOT,0,0
DT_2074,HC530029,,,SPOT,0,0
DT_2133,HC530063,,,SPOT,0,0
DT_2302,HC530070,,,SPOT,0,0
DT_2018,HC530066,,,SPOT,0,0
DT_2276,PC-0022D00-TBA7064493,,,SPOT,0,0
DT_2152,HC530092,,,SPOT,0,0
DT_2048,HC530054,,,SPOT,0,0
DT_2073,HC530020,,,SPOT,0,0
DT_2234,HC530133,,,SPOT,0,0
DT_2200,HC530017,,,SPOT,0,0
DT_2290,HC530078,,,SPOT,0,0
DT_2218,HC530065,,,SPOT,0,0
DT_2076,HC530120,,,SPOT,0,0
DT_2303,HC530160,,,SPOT,0,0
DT_2132,HC530150,,,SPOT,0,0
DT_2215,HC530134,,,SPOT,0,0
DT_2057,HC530003,,,SPOT,0,0
DT_2241,HC530001,,,SPOT,0,0
DT_2216,HC530055,,,SPOT,0,0
DT_2175,PC-0022D00-TBA7204694,,,SPOT,0,0
DT_2237,HC530269,,,SPOT,0,0
DT_2056,HC530264,,,SPOT,0,0
DT_2135,HC530030,,,SPOT,0,0
DT_2025,HC530123,,,SPOT,0,0
DT_2044,HC530024,,,SPOT,0,0
DT_2122,HC530124,,,SPOT,0,0
DT_2291,HC530028,,,SPOT,0,0
DT_2186,PC-0022D00-TBA7092030,,,SPOT,0,0
DT_809,DT_809,,,SPOT,0,0
DT_1003,DT_1003,,,SPOT,0,0
DT_1024,DT_1024,,,SPOT,0,0
