
[TRANSFORMER SETTING]
FORMAT_TRANSFORMERSETTING=SectionID,Location,EqID,DeviceNumber,DeviceStage,Flags,CoordX,CoordY,Conn,PrimTap,SecondaryTap,RgPrim,XgPrim,RgSec,XgSec,ODPrimPh,PrimaryBaseVoltage,SecondaryBaseVoltage,FromNodeID,SettingOption,SetPoint,ControlType,LowerBandWidth,UpperBandWidth,TapLocation,InitialTapPosition,InitialTapPositionMode,Tap,MaxBuck,MaxBoost,CT,PT,Rset,Xset,FirstHouseHigh,FirstHouseLow,PhaseON,AtSectionID,MasterID,FaultIndicator,PhaseShiftType,GammaPhaseShift,CTPhase,PrimaryCornerGroundedPhase,SecondaryCornerGroundedPhase,ConnectionStatus,Reversible

BB_4943,L,22/0.4KV_630KVA_4.0Z_0.75KW,DT_801,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5037,L,22/0.4KV_250KVA_4.3Z_0.32KW,DT_803,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_4959,L,22/0.4KV_100KVA_4.0Z_0.12KW,DT_808,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5163,L,22/0.4KV_100KVA_4.0Z_0.12KW,DT_821,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5243,L,22/0.4KV_50KVA_4.0Z_0.12KW,DT_835,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5149,L,22/0.4KV_250KVA_4.6Z_0.34KW,DT_848,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5175,L,22/0.4KV_180KVA_4.0Z_0.21KW,DT_884,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5115,L,22/0.4KV_160KVA_4.0Z_0.00KW,DT_890,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5193,L,22/0.4KV_250KVA_4.2Z_0.09KW,DT_891,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_4893,L,22/0.4KV_100KVA_4.0Z_0.08KW,DT_897,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5069,L,22/0.4KV_100KVA_4.3Z_0.27KW,DT_901,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5139,L,22/0.4KV_100KVA_4.0Z_0.20KW,DT_903,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_4993,L,22/0.4KV_250KVA_4.3Z_0.10KW,DT_913,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_4987,L,22/0.4KV_50KVA_4.0Z_0.08KW,DT_915,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5051,L,22/0.4KV_100KVA_4.2Z_0.12KW,DT_918,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5249,L,22/0.4KV_180KVA_4.0Z_0.00KW,DT_922,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
BB_5091,L,22/0.4KV_160KVA_4.2Z_0.17KW,DT_928,,0,,,Dyn11,100,100,0,0,0,0,NONE,22,0.4KV,,,,,,,,,,,,,,,,,,,,,,0,,0,1,NONE,NONE,0,1
