
[OVERHEADLINE SETTING]
FORMAT_OVERHEADLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,ConnectionStatus,CoordX,CoordY,HarmonicModel,FlowConstraintActive,FlowConstraintUnit,MaximumFlow,SeriesCompensationActive,MaxReactanceMultiplier,SeriesCompensationCost

OH_4646,OH_4646,,0,0,3P_22 KV_ACV-120SQMM,987.54538826,0,0,0,2,0,0,100,0,50,0
OH_4657,OH_4657,,0,0,3P_22 KV_ACSR-95SQMM,855.31452019,0,0,0,2,0,0,100,0,50,0
OH_4658,OH_4658,,0,0,3P_22 KV_ACSR-95SQMM,12.05897575,0,0,0,2,0,0,100,0,50,0
OH_4673,OH_4673,,0,0,3P_22 KV_ACSR-95SQMM,202.47781214,0,0,0,2,0,0,100,0,50,0
OH_4694,OH_4694,,0,0,3P_22 KV_ACSR-50SQMM,700.82456771,0,0,0,2,0,0,100,0,50,0
OH_4696,OH_4696,,0,0,3P_22 KV_ACSR-95SQMM,334.61683557,0,0,0,2,0,0,100,0,50,0
OH_4721,OH_4721,,0,0,3P_22 KV_ACV-70SQMM,46.76090269,0,0,0,2,0,0,100,0,50,0
OH_4824,OH_4824,,0,0,3P_22 KV_ACSR-95SQMM,633.71904640,0,0,0,2,0,0,100,0,50,0
OH_4833,OH_4833,,0,0,3P_22 KV_MV-240SQMM,1073.07037209,0,0,0,2,0,0,100,0,50,0
OH_4834,OH_4834,,0,0,3P_22 KV_ACSR-95SQMM,1197.37556744,0,0,0,2,0,0,100,0,50,0
OH_4835,OH_4835,,0,0,3P_22 KV_ACSR-95SQMM,2397.59013451,0,0,0,2,0,0,100,0,50,0
OH_4836,OH_4836,,0,0,3P_22 KV_ACSR-95SQMM,1656.79924850,0,0,0,2,0,0,100,0,50,0
OH_4837,OH_4837,,0,0,3P_22 KV_ACSR-95SQMM,1197.51118806,0,0,0,2,0,0,100,0,50,0
OH_4838,OH_4838,,0,0,3P_22 KV_ACSR-95SQMM,1119.23109994,0,0,0,2,0,0,100,0,50,0
OH_4839,OH_4839,,0,0,3P_22 KV_ACSR-95SQMM,1031.42605809,0,0,0,2,0,0,100,0,50,0
OH_4840,OH_4840,,0,0,3P_22 KV_ACSR-70SQMM,590.85848203,0,0,0,2,0,0,100,0,50,0
OH_4841,OH_4841,,0,0,3P_22 KV_ACV-120SQMM,1000.00514085,0,0,0,2,0,0,100,0,50,0
OH_4842,OH_4842,,0,0,3P_22 KV_ACSR-70SQMM,1263.07864198,0,0,0,2,0,0,100,0,50,0
OH_4843,OH_4843,,0,0,3P_22 KV_ACSR-95SQMM,1061.90471720,0,0,0,2,0,0,100,0,50,0
OH_4844,OH_4844,,0,0,3P_22 KV_ACSR-95SQMM,744.39414822,0,0,0,2,0,0,100,0,50,0
OH_4850,OH_4850,,0,0,3P_22 KV_ACSR-95SQMM,1033.77112518,0,0,0,2,0,0,100,0,50,0
OH_5544,OH_5544,,0,0,3P_22 KV_ACSR-50SQMM,19.16397470,0,0,0,2,0,0,100,0,50,0
