
[CUSTOMER LOADS] 
FORMAT_CUSTOMERLOADS=SectionID,DeviceNumber,LoadType,CustomerNumber,CustomerType,ConnectionStatus,LockDuringLoadAllocation,Year,LoadModelID,NormalPriority,EmergencyPriority,ValueType,LoadPhase,Value1,Value2,ConnectedKVA,KWH,NumberOfCustomer,CenterTapPercent,CenterTapPercent2,LoadValue1N1,LoadValue1N2,LoadValue2N1,LoadValue2N2

DT_1043,CC530142,SPOT,006543,R,0,0,,,,,2,7,62.90278778,97.43,64.562032,0,1,,,,,,
DT_1051,PC-0022D00-VITRI7572680,SPOT,2407-1610,R,0,0,,,,,2,7,102.5947644,96.77,106.019184,0,1,,,,,,
DT_846,CD530239,SPOT,203100887,R,0,0,,,,,2,7,1.704288,100,1.704288,0,1,,,,,,
DT_925,CD530244,SPOT,821553342,R,0,0,,,,,2,7,1.66272,100,1.66272,0,1,,,,,,
DT_921,CC530129,SPOT,T00005911,R,0,0,,,,,2,7,35.91887416,96.1,37.37656,0,1,,,,,,
DT_999,CD530168,SPOT,1264312,R,0,0,,,,,2,7,192.4958323,96.53,199.415552,0,1,,,,,,
DT_853,CD530243,SPOT,394512314,R,0,0,,,,,2,7,9.359728,100,9.359728,0,1,,,,,,
DT_987,CC530132,SPOT,13270810,R,0,0,,,,,2,7,34.43160576,93,37.023232,0,1,,,,,,
DT_1040,CC530080,SPOT,5647456,R,0,0,,,,,2,7,5.878951848,73.47,8.00184,0,1,,,,,,
DT_933,CD530216,SPOT,0564867,R,0,0,,,,,2,7,19.18256786,97.77,19.620096,0,1,,,,,,
DT_1047,CD530241,SPOT,5248583143,R,0,0,,,,,2,7,1.33059168,97,1.371744,0,1,,,,,,
DT_900,CD530141,SPOT,0351654,R,0,0,,,,,2,7,7.703575744,71.6,10.759184,0,1,,,,,,
DT_860,CD530242,SPOT,31252624523,R,0,0,,,,,2,7,1.326962794,98.73,1.344032,0,1,,,,,,
DT_855,CC530149,SPOT,V190811,R,0,0,,,,,2,7,5.878951848,73.47,8.00184,0,1,,,,,,
DT_973,CD530240,SPOT,203100888,R,0,0,,,,,2,7,1.890678912,99.6,1.898272,0,1,,,,,,
DT_895,CC530087,SPOT,202250356,R,0,0,,,,,2,7,2.899949952,97.8,2.965184,0,1,,,,,,
DT_859,CC530151,SPOT,8052205463183,R,0,0,,,,,2,7,1.46121912,98.1,1.48952,0,1,,,,,,
DT_1031,CC530135,SPOT,030806-02,R,0,0,,,,,2,7,0.302073963,92.77,0.325616,0,1,,,,,,
DT_2094,HC530102,SPOT,T00002221,R,0,0,,,,,2,7,80.64159923,92.83,86.870192,0,1,,,,,,
DT_2103,HC530111,SPOT,092250353,R,0,0,,,,,2,7,95.77413935,97.67,98.058912,0,1,,,,,,
DT_2213,HC530260,SPOT,2224030706,R,0,0,,,,,2,7,115.5973872,92.17,125.417584,0,1,,,,,,
DT_2146,HC530058,SPOT,010385,R,0,0,,,,,2,7,65.06860805,94.27,69.023664,0,1,,,,,,
DT_2201,HC530152,SPOT,8051216466159,R,0,0,,,,,2,7,74.76890198,95.17,78.56352,0,1,,,,,,
DT_2233,HD530163,SPOT,1111-388,R,0,0,,,,,2,7,15.93773237,94.67,16.83504,0,1,,,,,,
DT_2083,HC530110,SPOT,09020,R,0,0,,,,,2,7,98.86666138,89.6,110.342256,0,1,,,,,,
DT_2283,HD530292,SPOT,203101357,R,0,0,,,,,2,7,6.491536,100,6.491536,0,1,,,,,,
DT_2108,HC530026,SPOT,11.027,R,0,0,,,,,2,7,96.06346094,95.7,100.379792,0,1,,,,,,
DT_2062,HC530276,SPOT,07320410,R,0,0,,,,,2,7,98.86666138,89.6,110.342256,0,1,,,,,,
DT_2260,HC530097,SPOT,092250357,R,0,0,,,,,2,7,147.0407186,95.63,153.760032,0,1,,,,,,
DT_2099,HC530023,SPOT,016302208035,R,0,0,,,,,2,7,215.6011384,92.43,233.258832,0,1,,,,,,
DT_2247,HC530261,SPOT,18010372,R,0,0,,,,,2,7,39.5966376,87.93,45.032,0,1,,,,,,
DT_2221,HC530100,SPOT,T00009781,R,0,0,,,,,2,7,59.31393344,96.5,61.465216,0,1,,,,,,
DT_2204,HD630252,SPOT,622080533,R,0,0,,,,,2,7,0.6595456,5,13.190912,0,1,,,,,,
DT_2159,HC530272,SPOT,6092210749063,R,0,0,,,,,2,7,38.72377888,96.37,40.1824,0,1,,,,,,
DT_2293,HC530259,SPOT,T00000949,R,0,0,,,,,2,7,7.988542397,94.67,8.438304,0,1,,,,,,
DT_2174,HD530180,SPOT,6092216777170,R,0,0,,,,,2,7,42.92748144,86.6,49.56984,0,1,,,,,,
DT_2266,HD530295,SPOT,203101071,R,0,0,,,,,2,7,10.90832652,99.97,10.9116,0,1,,,,,,
DT_2111,HC530025,SPOT,0123475,R,0,0,,,,,2,7,155.2950821,98.37,157.868336,0,1,,,,,,
DT_2149,HC530099,SPOT,092180034,R,0,0,,,,,2,7,104.4594757,97.17,107.501776,0,1,,,,,,
DT_2050,HC530112,SPOT,13200810,R,0,0,,,,,2,7,102.5947644,96.77,106.019184,0,1,,,,,,
DT_2080,HD530155,SPOT,0314-0286,R,0,0,,,,,2,7,3.908969506,95.47,4.094448,0,1,,,,,,
DT_2274,HD530299,SPOT,203101134,R,0,0,,,,,2,7,6.103568,100,6.103568,0,1,,,,,,
DT_2077,HD530290,SPOT,203101133,R,0,0,,,,,2,7,9.270098386,99.93,9.276592,0,1,,,,,,
DT_2153,HD530302,SPOT,20200204,R,0,0,,,,,2,7,9.11032,100,9.11032,0,1,,,,,,
DT_2205,HD530294,SPOT,203101135,R,0,0,,,,,2,7,6.221344,100,6.221344,0,1,,,,,,
DT_2045,HD530297,SPOT,203101136,R,0,0,,,,,2,7,6.103568,100,6.103568,0,1,,,,,,
DT_2033,HC530096,SPOT,T00010272,R,0,0,,,,,2,7,221.3827436,98.87,223.91296,0,1,,,,,,
