
[INTERMEDIATE NODES]
FORMAT_INTERMEDIATENODE=SectionID,SeqNumber,CoordX,CoordY,IsBreakPoint,BreakPointLocation
               
OH_4645,1,757341.490250835,1838855.37853295,,
OH_4645,2,757380.048881506,1838951.06195855,,
OH_4645,3,757424.988546136,1839039.84719609,,
OH_4645,4,757481.343195827,1839102.64014022,,
OH_4645,5,757580.093845987,1839155.20598299,,
OH_4645,6,757676.187835972,1839206.74260406,,
OH_4645,7,757767.005823199,1839262.09157269,,
OH_4645,8,757832.90770213,1839320.90429688,,
OH_4645,9,757891.597887752,1839384.61269558,,
OH_4645,10,757946.568090103,1839446.94773163,,
OH_4645,11,758005.300100712,1839515.97173345,,
OH_4645,12,758064.214962367,1839561.08249649,,
OH_4645,13,758114.112570626,1839610.18209322,,
OH_4645,14,758187.2781815,1839668.41883676,,
OH_4645,15,758209.416057403,1839723.02808776,,
OH_4645,16,758262.846354878,1839722.25702763,,
OH_4645,17,758292.220799862,1839800.11775882,,
OH_4645,18,758323.642017897,1839894.05679927,,
OH_4666,1,755026.715677637,1836062.32813283,,
OH_4666,2,755094.631345442,1836070.11191386,,
OH_4668,1,755651.19543902,1837507.78945643,,
OH_4668,2,755679.001998664,1837566.02872266,,
OH_4668,3,755704.788969099,1837623.68908179,,
OH_4668,4,755716.500643964,1837650.05290149,,
OH_4668,5,755731.027097391,1837679.14064002,,
OH_4668,6,755757.439773787,1837737.91588874,,
OH_4668,7,755782.373665197,1837795.45570713,,
OH_4668,8,755809.939064083,1837856.01624639,,
OH_4668,9,755839.110786689,1837916.15342497,,
OH_4668,10,755858.897094095,1837975.51388275,,
OH_4668,11,755879.741383124,1838035.66196401,,
OH_4668,12,755901.440660114,1838095.70971712,,
OH_4668,13,755916.585195871,1838159.33271823,,
OH_4668,14,755932.259114624,1838223.29413234,,
OH_4668,15,755946.04100932,1838284.79743849,,
OH_4672,1,755121.926875768,1834899.31972821,,
OH_4672,2,755168.435334025,1834904.70671607,,
OH_4685,1,757330.032366679,1838609.48298946,,
OH_4685,2,757354.689503632,1838583.03017039,,
