
[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,Flags,LoadType,Connection,Location

DT_1043,CC530142,,,SPOT,0,0
DT_1051,PC-0022D00-VITRI7572680,,,SPOT,0,0
DT_846,CD530239,,,SPOT,0,0
DT_925,CD530244,,,SPOT,0,0
DT_921,CC530129,,,SPOT,0,0
DT_999,CD530168,,,SPOT,0,0
DT_853,CD530243,,,SPOT,0,0
DT_987,CC530132,,,SPOT,0,0
DT_1040,CC530080,,,SPOT,0,0
DT_933,CD530216,,,SPOT,0,0
DT_1047,CD530241,,,SPOT,0,0
DT_900,CD530141,,,SPOT,0,0
DT_860,CD530242,,,SPOT,0,0
DT_855,CC530149,,,SPOT,0,0
DT_973,CD530240,,,SPOT,0,0
DT_895,CC530087,,,SPOT,0,0
DT_859,CC530151,,,SPOT,0,0
DT_1031,CC530135,,,SPOT,0,0
DT_2094,HC530102,,,SPOT,0,0
DT_2103,HC530111,,,SPOT,0,0
DT_2213,HC530260,,,SPOT,0,0
DT_2146,HC530058,,,SPOT,0,0
DT_2201,HC530152,,,SPOT,0,0
DT_2233,HD530163,,,SPOT,0,0
DT_2083,HC530110,,,SPOT,0,0
DT_2283,HD530292,,,SPOT,0,0
DT_2108,HC530026,,,SPOT,0,0
DT_2062,HC530276,,,SPOT,0,0
DT_2260,HC530097,,,SPOT,0,0
DT_2099,HC530023,,,SPOT,0,0
DT_2247,HC530261,,,SPOT,0,0
DT_2221,HC530100,,,SPOT,0,0
DT_2204,HD630252,,,SPOT,0,0
DT_2159,HC530272,,,SPOT,0,0
DT_2293,HC530259,,,SPOT,0,0
DT_2174,HD530180,,,SPOT,0,0
DT_2266,HD530295,,,SPOT,0,0
DT_2111,HC530025,,,SPOT,0,0
DT_2149,HC530099,,,SPOT,0,0
DT_2050,HC530112,,,SPOT,0,0
DT_2080,HD530155,,,SPOT,0,0
DT_2274,HD530299,,,SPOT,0,0
DT_2077,HD530290,,,SPOT,0,0
DT_2153,HD530302,,,SPOT,0,0
DT_2205,HD530294,,,SPOT,0,0
DT_2045,HD530297,,,SPOT,0,0
DT_2033,HC530096,,,SPOT,0,0
DT_2202,HD530259,,,SPOT,0,0
DT_2066,HD530300,,,SPOT,0,0
DT_2097,PC-0022D00-TBA7409928,,,SPOT,0,0
DT_2011,HD530296,,,SPOT,0,0
DT_2101,HC530095,,,SPOT,0,0
DT_2059,HC530101,,,SPOT,0,0
DT_2289,HC530098,,,SPOT,0,0
DT_2105,HC530081,,,SPOT,0,0
DT_2148,HD630250,,,SPOT,0,0
DT_2136,HC530138,,,SPOT,0,0
DT_2292,HC530144,,,SPOT,0,0
DT_2297,HD530301,,,SPOT,0,0
DT_2178,HC530114,,,SPOT,0,0
DT_2016,HD530298,,,SPOT,0,0
DT_2039,HC530057,,,SPOT,0,0
DT_2092,HC530145,,,SPOT,0,0
DT_2008,HD530256,,,SPOT,0,0
DT_2214,HD530293,,,SPOT,0,0
DT_2037,HD530291,,,SPOT,0,0
DT_2051,HC530103,,,SPOT,0,0
DT_2264,HC530113,,,SPOT,0,0
DT_2141,HC530275,,,SPOT,0,0
DT_2208,HC530115,,,SPOT,0,0
DT_2235,HC530141,,,SPOT,0,0
DT_924,DT_924,,,SPOT,0,0
DT_1016,DT_1016,,,SPOT,0,0
DT_2020,DT_2020,,,SPOT,0,0
DT_2030,DT_2030,,,SPOT,0,0
DT_2064,DT_2064,,,SPOT,0,0
DT_2081,DT_2081,,,SPOT,0,0
DT_2120,DT_2120,,,SPOT,0,0
DT_2162,DT_2162,,,SPOT,0,0
DT_2259,DT_2259,,,SPOT,0,0
