
[OVERHEADLINE SETTING]
FORMAT_OVERHEADLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,ConnectionStatus,CoordX,CoordY,HarmonicModel,FlowConstraintActive,FlowConstraintUnit,MaximumFlow,SeriesCompensationActive,MaxReactanceMultiplier,SeriesCompensationCost

OH_4645,OH_4645,,0,0,3P_22 KV_ACSR-150SQMM,1951.95469511,0,0,0,2,0,0,100,0,50,0
OH_4666,OH_4666,,0,0,3P_22 KV_ACSR-150SQMM,245.80812653,0,0,0,2,0,0,100,0,50,0
OH_4668,OH_4668,,0,0,3P_22 KV_ACSR-150SQMM,958.69871078,0,0,0,2,0,0,100,0,50,0
OH_4672,OH_4672,,0,0,3P_22 KV_ACV-70SQMM,112.97358573,0,0,0,2,0,0,100,0,50,0
OH_4685,OH_4685,,0,0,3P_22 KV_ACSR-150SQMM,93.64351969,0,0,0,2,0,0,100,0,50,0
OH_4686,OH_4686,,0,0,3P_22 KV_ACSR-150SQMM,54.57829676,0,0,0,2,0,0,100,0,50,0
OH_4692,OH_4692,,0,0,3P_22 KV_ACSR-120SQMM,366.85776913,0,0,0,2,0,0,100,0,50,0
OH_4699,OH_4699,,0,0,3P_22 KV_ACSR-150SQMM,288.24854914,0,0,0,2,0,0,100,0,50,0
OH_4715,OH_4715,,0,0,3P_22 KV_ACSR-95SQMM,199.19669178,0,0,0,2,0,0,100,0,50,0
OH_4717,OH_4717,,0,0,3P_22 KV_ACV-70SQMM,383.34903993,0,0,0,2,0,0,100,0,50,0
OH_4729,OH_4729,,0,0,3P_22 KV_ACSR-70SQMM,56.99995990,0,0,0,2,0,0,100,0,50,0
OH_4760,OH_4760,,0,0,3P_22 KV_ACSR-120SQMM,2.14000000,0,0,0,2,0,0,100,0,50,0
OH_4763,OH_4763,,0,0,3P_22 KV_ACSR-70SQMM,57.50732918,0,0,0,2,0,0,100,0,50,0
OH_4764,OH_4764,,0,0,3P_22 KV_ACSR-70SQMM,181.10118643,0,0,0,2,0,0,100,0,50,0
OH_4765,OH_4765,,0,0,3P_22 KV_ACSR-70SQMM,519.03809003,0,0,0,2,0,0,100,0,50,0
OH_4766,OH_4766,,0,0,3P_22 KV_ACSR-70SQMM,37.02658099,0,0,0,2,0,0,100,0,50,0
OH_4858,OH_4858,,0,0,3P_22 KV_ACSR-120SQMM,667.02870228,0,0,0,2,0,0,100,0,50,0
